Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
enveloppe blanche  aut adhes  162x229x21876,,papeterie,,pc,40,40,7385,739,,,15533.jpg,,,,,,,
enveloppe kraft 16x22 n a 1441662,,papeterie,,pc,60,60,8489,849,,,15534.jpg,,,,,,,
enveloppe kraft 162x229x2 a5,,papeterie,,pc,45,45,384,38,,,15535.jpg,,,,,,,
enveloppe kraft aut adhes 176x250,,papeterie,,pc,30,30,526,53,,,15538.jpg,,,,,,,
enveloppe avion aut adhes 110x20  bbr,,papeterie,,pc,50,50,450,45,,,15540.jpg,,,,,,,
enveloppe blanche auto adhes dl 110x20,,papeterie,,pc,30,30,168726,16873,,,15543.jpg,,,,,,,
enveloppe blanche aut adhes fenetre 11x22  a bande 15x1,,papeterie,,pc,25,25,2508,251,,,15544.jpg,,,,,,,
enveloppe blanche auto adhes c6  114x162,,papeterie,,pc,30,30,125895,12590,,,15547.jpg,,,,,,,
enveloppe kern 114x229 af 45x100  701598,,papeterie,,pc,20,20,4825,483,,,15548.jpg,,,,,,,
enveloppe kraft 114x162,,papeterie,,pc,30,30,5911,591,,,15549.jpg,,,,,,,
marker permanent vert pointe biseau,,papeterie,,pc,500,500,224,22,,,15553.jpg,,,,,,,
colle aerosol spraymount 400ml 7024,,papeterie,,pc,12775,12775,1,0,,,15555.jpg,,,,,,,
colle vinylique extra 1kg flacon forte,,papeterie,,pc,4350,4350,22,2,,,15556.jpg,,,,,,,
colle flacon 1 l transp. ct1l,,papeterie,,pc,2600,2600,384,38,,,15557.jpg,,,,,,,
colle flacon 1 l blanc   vi1l,,papeterie,,pc,2500,2500,177,18,,,15558.jpg,,,,,,,
colle stick  40g bib,,papeterie,,pc,1700,1700,62,6,,,15561.jpg,,,,,,,
collle stick bib 40g baton,,papeterie,,pc,1600,1600,235,24,,,15563.jpg,,,,,,,
colle blanche jerrycan,,papeterie,,pc,1700,1700,39,4,,,15564.jpg,,,,,,,
colle uhu flacon transp 90ml adhes,,papeterie,,pc,2100,2100,337,34,,,15565.jpg,,,,,,,
colle flacon 100ml blanc,,papeterie,,pc,1100,1100,303,30,,,15567.jpg,,,,,,,
colle stick  20g bib 83636,,papeterie,,pc,1100,1100,7,1,,,15568.jpg,,,,,,,
colle baton 40gr,,papeterie,,pc,2000,2000,98,10,,,15569.jpg,,,,,,,
colle flacon 50gr blanc,,papeterie,,pc,1400,1400,2,0,,,15571.jpg,,,,,,,
colle tube universelle 30ml,,papeterie,,pc,1300,1300,12,1,,,15572.jpg,,,,,,,
colle baton 20gr,,papeterie,,pc,1150,1150,30,3,,,15573.jpg,,,,,,,
colle universelle uhu 33ml,,papeterie,,pc,1200,1200,36,4,,,15574.jpg,,,,,,,
colle oceane  flacon bleutee  60g,,papeterie,,pc,800,800,126,13,,,15578.jpg,,,,,,,
colle tube universelle 30g,,papeterie,,pc,600,600,46,5,,,15579.jpg,,,,,,,
colle tube univers gel. 30ml,,papeterie,,pc,1050,1050,155,16,,,15580.jpg,,,,,,,
colle tube univers.30ml,,papeterie,,pc,1100,1100,26,3,,,15581.jpg,,,,,,,
colle tube univers.30ml blister,,papeterie,,pc,1750,1750,4,0,,,15582.jpg,,,,,,,
colle uhu stick baton,,papeterie,,pc,700,700,751,75,,,15585.jpg,,,,,,,
colle pot 50gr blanc,,papeterie,,pc,600,600,227,23,,,15586.jpg,,,,,,,
colle tube univers. 30ml sans solvant,,papeterie,,pc,500,500,119,12,,,15589.jpg,,,,,,,
colle pot 23gr blancb30,,papeterie,,pc,250,250,136,14,,,15592.jpg,,,,,,,
ciseau bureau bp 18 cm,,papeterie,,pc,1950,1950,6,1,,,15596.jpg,,,,,,,
surligneur orange pointe biseaute,,papeterie,,pc,550,550,747,75,,,15602.jpg,,,,,,,
taille crayon metal 2 trous 85x202,,papeterie,,pc,550,550,32,3,,,15603.jpg,,,,,,,
marker permanent bleu  pointe biseaute 2211019,,papeterie,,pc,700,700,250,25,,,15604.jpg,,,,,,,
